target,model,noise_std,n_train,bias_grid_estimate,variance_grid_estimate,bias_plus_variance
sin_pi_x,constant,0.2,2,0.49900198124798456,0.2717108778249102,0.7707128590728948
sin_pi_x,linear,0.2,2,0.19897067573665742,2.0593960653543895,2.258366741091047
sin_pi_x,origin,0.2,2,0.26156925953381144,0.26035517102313965,0.521924430556951
x_squared,constant,0.2,2,0.08960828881183527,0.06229060262923069,0.15189889144106597
x_squared,linear,0.2,2,0.19174766880486419,0.8588808508791806,1.0506285196840448
x_squared,origin,0.2,2,0.20180391265626446,0.15596356141202083,0.3577674740682853
